Comarca,Any,Preu mitjà lloguer,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,RFDB per habitant - Mensual
Urgell,2012,342.3596624697337,479349,13100.0,82.7,1091.67
Terra Alta,2012,306.7712769230767,156974,12600.0,79.9,1050.0
Tarragonès,2012,462.58658609096886,3552386,14200.0,90.0,1183.33
Solsonès,2012,321.9714753086419,181510,13300.0,84.2,1108.33
Selva,2012,441.1101510773129,2139252,12600.0,79.5,1050.0
Maresme,2012,579.9189099352534,6819971,15700.0,99.4,1308.33
Segrià,2012,393.2118438251,2889943,14000.0,88.3,1166.67
Ripollès,2012,345.2435401960787,408293,15700.0,99.0,1308.33
Priorat,2012,378.1821070422536,124878,12700.0,80.5,1058.33
Pla d'Urgell,2012,350.7367210412147,482246,13100.0,82.5,1091.67
Pla de l'Estany,2012,439.6295904051173,462357,14800.0,93.2,1233.33
Pallars Sobirà,2012,366.2433130434784,98571,13500.0,85.2,1125.0
Pallars Jussà,2012,311.6567593220338,187899,13700.0,86.3,1141.67
Noguera,2012,320.2675644257704,498338,12600.0,79.3,1050.0
Segarra,2012,339.0916344947737,315558,13700.0,86.4,1141.67
Ribera d'Ebre,2012,306.65826834532373,320892,13900.0,87.6,1158.33
Vallès Oriental,2013,509.5867642434733,6177834,15600.0,98.4,1300.0
Vallès Occidental,2013,531.1886381664176,14357830,16100.000000000002,101.5,1341.67
Terra Alta,2013,251.7238613636364,154713,12700.0,80.4,1058.33
Conca de Barberà,2013,328.15438349056615,291888,14100.0,89.2,1175.0
Cerdanya,2013,455.9775634615385,243806,13400.0,84.5,1116.67
Berguedà,2013,319.16753090909066,622001,15500.0,98.0,1291.67
Barcelonès,2013,647.39793623947,39653571,18000.0,113.5,1500.0
Baix Penedès,2013,415.3517543933056,1312691,13100.0,83.1,1091.67
Baix Llobregat,2013,591.4098735696161,13152787,16500.0,104.0,1375.0
Baix Ebre,2013,320.01062493297576,970873,12100.0,76.6,1008.33
Bages,2013,355.9149051109237,2628393,15000.0,95.1,1250.0
Anoia,2013,376.5802965186075,1643875,14000.0,88.2,1166.67
Alta Ribagorça,2013,337.68251249999986,58818,14700.0,93.2,1225.0
Alt Urgell,2013,361.6771031518626,260979,12500.0,79.0,1041.67
Alt Penedès,2013,414.04186320371423,1612187,15300.0,96.4,1275.0
Alt Empordà,2013,433.3152964992392,1676066,12200.0,77.0,1016.67
