Comarca,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,Any
Pallars Sobirà,107261,15.5,85.2,2019
Pla d'Urgell,556872,15.0,82.2,2019
Pla de l'Estany,549381,17.0,93.4,2019
Priorat,137622,15.0,82.4,2019
Ribera d'Ebre,328059,15.2,83.2,2019
Ripollès,440048,17.6,96.5,2019
Segarra,336134,14.8,81.1,2019
Segrià,3324871,16.0,87.9,2019
Selva,2553827,15.0,82.5,2019
Solsonès,209235,15.3,83.8,2019
Tarragonès,4113441,15.8,86.8,2019
Terra Alta,166211,14.7,80.6,2019
Urgell,544760,14.8,81.4,2019
Vallès Occidental,17263226,18.6,101.8,2019
Vallès Oriental,7382905,18.0,98.5,2019
Alt Camp,699696,15.5,88.5,2020
Alt Empordà,1953140,14.0,79.5,2020
Alt Penedès,1829468,16.6,94.6,2020
Alt Urgell,276982,13.8,78.4,2020
Alta Ribagorça,57539,14.7,83.7,2020
Anoia,1929153,15.6,88.8,2020
Aran,161405,15.9,90.6,2020
Bages,2997757,16.7,95.2,2020
Baix Camp,2981015,15.2,86.7,2020
Baix Ebre,1103258,14.1,80.1,2020
Baix Empordà,1983315,14.7,83.9,2020
Baix Llobregat,15125751,18.3,104.0,2020
Baix Penedès,1605507,14.8,84.2,2020
Barcelonès,44350125,19.4,110.4,2020
Berguedà,667545,16.7,95.3,2020
